序号,招式,描述,益处,注意事项,常见问题
0,屈肘下犬式,1.猫式进入2、双手向前移动半个手掌，屈双肘掌心小臂贴向地面，脚尖点地3、呼气时，臀部向上双膝伸直，低头眼睛看向双脚之间4、保持5-8次呼吸，或者更长5、吸气抬头，呼气屈膝跪地，双臂伸直回到猫式,1.增加手臂及上背部力量。2、伸展腿部后侧腘胂肌。3、可防止体内器官下垂以及皮肤松弛。4、平静大脑，缓解精神疲劳感，有效的帮助放松。5、为难度更高的蝎子式、头倒立、手倒立等体式做准备,"1.如怀孕后期,或是后背,胯部,肩膀,手腕有病症、腹泻、血压异常或患有眩晕病的人群请勿练习。2.生理期的女性可抬头看双掌间，不要低头。",拱背，脊柱没有伸展。解决方式：启动肩胛区域的背阔肌上提。脚跟踩不到地面。解决方式：微屈双膝，脚跟抬高，腰背部挺直向上。
1,下犬式,"1.从婴儿式进入2、吸气抬头脚趾回勾3、呼气,提臀向上,让臀部朝向天花板4、手指大大张开,让臀部向上提，延展背部，大腿前侧肌肉上提5、双手、双脚与胯同宽,脚跟向下,舒展腋窝6、放松颈部,头部自然垂悬,眼睛看向大腿之间7、保持5-8个呼吸。8、吸气，抬头膝盖落地,回到婴儿式",1.拉伸腿部后侧及跟腱，舒展背部及腰部两侧。2.帮助运动跑步者提高速度，使腿部变得轻盈，强化全身力量。3.缓解肩关节炎症，脚后跟的僵硬和疼痛，增强脚踝稳定性。4.平静大脑，缓解精神疲劳感，有效的帮助放松。5.可防止体内器官下垂以及皮肤松弛。还可缓解皮肤松弛。6.此体式为高难度倒立类体式做准备。,"1.如在怀孕后期,或是后背,胯部,肩膀,手腕有病症、腹泻、血压异常或患有眩晕病的人群请勿练习。2.生理期的女性可抬头看双掌间，不要低头。",拱背，脊柱没有伸展。解决方式：启动肩胛区域的背阔肌上提。脚跟踩不到地面。解决方式：微屈双膝，脚跟抬高，腰背部挺直向上。
2,下犬式扭转,1.从下犬式开始2、呼气，抬右手抓住你得左脚脚踝外侧3、把手抓较低的位置，自己的极限保持4、左手用力向下推垫子5、保持30秒到1分钟6、吸气，恢复下犬式,1.拉伸腿部后侧及跟腱，舒展背部及腰部两侧。2.帮助运动跑步者提高速度，使腿部变得轻盈，强化全身力量。3.缓解肩关节炎症，脚后跟的僵硬和疼痛，增强脚踝稳定性。4.帮助平静大脑，缓解精神疲劳感，有效的帮助放松。5.可防止体内器官下垂以及皮肤松弛。还可缓解皮肤松弛。,"1.如怀孕后期,或是后背,胯部,肩膀,手腕有病症、腹泻、血压异常或患有眩晕病的人群请勿练习。2.生理期的女性抬头看双掌间，不要低头。",下方支撑手向前滑。解决方式：1.下方手推砖保持。2.将下方手虎口位置压实地面。
3,蜥蜴式,1.从下犬式进入2、吸气，将右脚向前迈到右手外侧，膝盖与踝关节垂直，脚尖向外45度。3、呼气，将你的左膝着地，脚背贴地。4、吸气，延展背部。5、呼气，弯曲你的手肘于地面，骨盆自然下沉，右脚掌平坦地踩在垫子上。6、保持5-8个呼吸。7、吸气，双手掌心压实垫子。呼气，把你的右脚向后回到下犬式。,1.深度的伸展髋部、后腿肌腱和大腿前侧（股四头肌）。2.促进骨盆区域的血液循环，缓解女性妇科疾病及经期不畅。3.达到身心放松、头脑平静。,"如怀孕后期,或是胯部,膝关节、手腕有病症、血压异常或患有眩晕病的人群请勿练习。",拱背向上，脊柱没有向前伸展。解决方式：可将双手下方垫毛毯来练习，或者双手掌撑地，确保脊柱挺直向前。
4,低弓箭步扭转,1.由下犬式进入。2、吸气，右脚向前迈至两手之间，膝盖位于脚踝正上方。3、呼气，左膝压在瑜伽垫上。4、吸气，双臂举过头顶，掌心相对，左手放在右膝盖外侧，右手扶后腿。6、呼气，手掌轻推前膝，轻轻扭转右后方，眼睛看右肩方向。7、保持5-8个呼吸。8、吸气，松开双手，身体回正；呼气，将双手置于右脚两侧压地，撤右腿向后回到下犬式。,1.拉伸髋部、大腿、腹股沟部位的肌肉，舒展胸部。2.加强肩部、上背部、核心肌群、大腿和脚踝力量。3.缓解背部的僵硬感及颈椎病。4.助消化系统、按摩内脏及缓解身心的疲惫感。,如有膝盖、髋部、背部或肩部有病症及不适，请勿练习。,问：后膝压力过大，怎么解决？答：可以在膝盖下方垫上毛毯来缓解。
5,半猴式,1.下犬式进入2、吸气，迈右脚向前到双掌间，屈右膝3、呼气，左膝、脚背落地（臀部与膝盖上下垂直）双手指尖点地4、吸气，前方膝盖伸直5、重心后移到左膝6、吸气，胸腔向前带动背部延伸7、呼气，屈肘身体折髋向下，额头贴向小腿8、保持5-8次呼吸9、吸气抬头，双手掌心压地，呼气后脚趾回勾，前腿向后撤回到下犬式,1.深度的拉伸腿后侧的肌腱和后背部；2.帮助达到身心放松、头脑平静；3.此体式为高级神猴式做准备。,"1.如在怀孕后期,或是后背,胯部,手腕有病症、血压异常或患有眩晕病的人群请勿练习；2.如果髋部和膝盖有病症，请勿练习。",前腿无法伸直？解决方式：可根据自身情况保持微屈膝。后膝压力过大，出现疼痛？解决方式：后膝下方垫毛毯。
6,低弓箭步后仰,1.由下犬式进入；2.右脚向前迈，踩在两手之前，确保膝盖位于脚踝正上方；3.左膝压在垫子上；4.吸气，躯干挺直，双臂举过头顶，双手合十；5.慢慢地打开胸腔，尽力后仰，进入后仰姿势。6.持续前推尾椎骨，缓解下背部的压力。7.保持5-8个呼吸。8.退出体式时，吸气的同时直立上身，呼气，将双手分置于前脚两侧，回归下犬式。,1.充分拉伸大腿、髋部、腹部、胸部和肩部。2.增强上背部与核心肌群的力量。3.提升脊柱的柔韧度。4.帮助舒展腋窝淋巴系统，缓解肩颈疾病，还可舒展胸部和心脏部位，刺激肾脏和肾上腺,如有膝盖、髋部、背部或肩部有病症及不适，请勿练习。,后膝压力过大，出现不适和疼痛。解决方式：1.后膝下方垫毛毯或毛巾。2.后脚背向下推地或脚趾回钩蹬地，启动膝盖周边肌群，保护膝关节。
7,低弓箭步,1.由下犬式进入；2.左脚向前迈到两手之间，确保膝盖位于脚踝正上方；3.右膝放于垫子上；4.吸气，躯干挺直，双臂举过头顶，掌心相对；5.尾椎向地板延伸，放松肩部，目视前方；6.髋部尽力向下沉；7.保持5-8个呼吸；8.退出体式时，呼气，将双手放于前脚两侧，前脚向后撤回到下犬式。,1.充分拉伸大腿、髋部、腹部、胸部和肩部。2.增强上背部与核心肌群的力量。3.缓解肩颈疾病，还可舒展胸部和心脏部位，刺激肾脏和肾上腺。,如有膝盖、髋部、或肩部有病症及不适，请勿练习。,后膝压力过大，出现不适和疼痛。解决方式：1.后膝下方垫毛毯或毛巾。2.后脚背向下推地或脚趾回钩蹬地，启动膝盖周边肌群，保护膝关节。
8,单腿下蹲,1.双角式进入；2.呼气，上半身前屈，手指指尖触碰地面；3.将重心转移到右脚上；4.弯曲右膝，臀部向右脚方向移动；5.挺直躯干，双手合十于胸前；6.伸展左腿，放松肩膀；7.保持几次呼吸的时间；8.退出体式时，伸直双腿，吸气的同时回到站姿。,1.拉伸大腿内侧机髋关节；2.增强腿部力量；3.舒展腋窝及淋巴系统及肩颈疾病，也可以舒展胸部和心脏部位，刺激肾脏和肾上腺。,如膝盖、脚踝或髋部有病症及不适，请勿练习。,上身躯干，重心过于向前倾。解决方式：提胸腔向上，脊背挺直垂直于地面。
9,加强侧伸展式,1.下犬式进入；2.吸气右腿向前迈到双手之间，调整髋部两边保持平行；3.双腿自然伸直，后脚跟用力向下踩地；4.吸气时，胸腔向前延展脊柱，呼气时放松上半身折髋向下，俯在前腿上方；5.额头贴近左腿胫骨，双手放于小腿两侧；6.保持5-8个呼吸；7.退出体式时，前腿向后回到下犬式。,1.深度拉伸腿部后侧与后背部。2.增强腿部与腹部的力量。3.可防止体内器官下垂以及皮肤松弛。4.平静大脑，缓解精神疲劳感，有效的帮助放松。,如膝盖、髋部或背部有病状不适感的人群，请勿练习。,"双腿无法伸直,重心不稳定。解决方式：根据自身的情况选择动作的幅度大小。拱背，脊柱没有延展向下。解决方式：双手推瑜伽砖将腿伸直，腰背部挺直向前保持此体式"
